site,site_desc,date,Tcham,sd_Tcham,n,se_Tcham
DRO,Wet rainforest,2019-06-17T12:00:00Z,21.22208187134503,0.22839357488121884,10,0.07222438995728722
DRO,Wet rainforest,2019-12-02T12:00:00Z,28.86947368421053,NA,1,NA
DRO,Wet rainforest,2020-07-06T12:00:00Z,20.907274853801173,0.27200146226377386,10,0.08601441476498645
DRO,Wet rainforest,2020-12-05T12:00:00Z,26.803872644574398,0.3397610262451851,9,0.1132536754150617
DRO,Wet rainforest,2021-06-07T12:00:00Z,23.91126148705096,0.030368709848010055,7,0.011478293413673249
DRO,Wet rainforest,2021-12-06T12:00:00Z,29.491219715956557,0.5948146424226703,7,0.22481880286145653
DRO,Wet rainforest,2022-06-13T12:00:00Z,24.155730994152048,0.2433223825216395,4,0.12166119126081976
MLES,Sclerophyll,2019-06-20T12:00:00Z,14.947690058479532,0.39336889073825765,10,0.12439416553868082
MLES,Sclerophyll,2019-12-04T12:00:00Z,29.273157894736844,0.3955572570261609,6,0.16148557396150506
MLES,Sclerophyll,2020-07-01T12:00:00Z,16.17859649122807,0.17704623392049437,10,0.055986935034372444
MLES,Sclerophyll,2020-12-04T12:00:00Z,19.58230994152047,1.5838630625303833,9,0.5279543541767945
MLES,Sclerophyll,2021-06-09T12:00:00Z,21.555450292397662,0.22324655133113006,10,0.07059675819840659
MLES,Sclerophyll,2021-12-08T12:00:00Z,26.433216374269005,0.26456476725259886,10,0.08366272531505402
MLES,Sclerophyll,2022-06-10T12:00:00Z,17.002543859649123,0.09913285306591353,10,0.03134856066390928
MLRF,Dry rainforest,2019-06-20T12:00:00Z,18.27493567251462,0.5454386373850297,10,0.17248284179953607
MLRF,Dry rainforest,2019-12-04T12:00:00Z,23.660540935672515,0.26724464096489015,8,0.094485248931019
MLRF,Dry rainforest,2020-06-04T12:00:00Z,14.022602339181287,0.9228996550019782,10,0.291846496158986
MLRF,Dry rainforest,2020-12-04T12:00:00Z,17.929157894736843,0.5730825946000621,10,0.1812246286335108
MLRF,Dry rainforest,2021-06-09T12:00:00Z,20.81866146848603,0.6354164291034496,9,0.21180547636781655
MLRF,Dry rainforest,2021-12-08T12:00:00Z,25.51195581546459,0.25498361620425836,9,0.08499453873475278
MLRF,Dry rainforest,2022-06-10T12:00:00Z,17.172463450292398,0.14500037588882242,8,0.05126537453279235
PNW,Dry savanna,2019-06-21T12:00:00Z,25.534269005847953,2.2493896909088424,9,0.7497965636362808
PNW,Dry savanna,2019-12-05T12:00:00Z,37.38278324351183,2.834143922604737,9,0.9447146408682457
PNW,Dry savanna,2020-06-18T12:00:00Z,29.141790653103346,2.283913057612069,7,0.8632379952192384
PNW,Dry savanna,2020-12-04T12:00:00Z,34.258228315887756,2.125158336399385,7,0.8032343506783596
PNW,Dry savanna,2021-06-10T12:00:00Z,27.406031746031744,0.3269982861607551,7,0.12359373490367027
PNW,Dry savanna,2021-12-09T12:00:00Z,30.281593567251463,0.3986853867630597,8,0.14095657027007044
STCK,Wet savanna,2019-06-20T12:00:00Z,20.359023391812865,0.9260533073557246,10,0.29284376859760497
STCK,Wet savanna,2020-06-11T12:00:00Z,25.252573099415205,1.266013176964926,9,0.42200439232164205
STCK,Wet savanna,2020-12-04T12:00:00Z,32.81416571507665,1.301106605990002,10,0.4114460353619685
STCK,Wet savanna,2021-06-11T12:00:00Z,23.85433918128655,0.439991042995905,5,0.19676997632597526
STCK,Wet savanna,2021-12-09T12:00:00Z,26.9870955165692,0.648251891036424,6,0.26464772630558653
STCK,Wet savanna,2022-06-10T12:00:00Z,24.651403508771935,0.8245443986467713,2,0.5830409356725159
